Date;Country;Period;Local marginal capacity price (euro/MW)
2020-06-01;Frankreich;NEGPOS_00_24;141.02
2020-06-02;Frankreich;NEGPOS_00_24;103.39
2020-06-03;Frankreich;NEGPOS_00_24;118
2020-06-04;Frankreich;NEGPOS_00_24;127.3
2020-06-05;Frankreich;NEGPOS_00_24;154.23
2020-06-06;Frankreich;NEGPOS_00_24;210.19
2020-06-07;Frankreich;NEGPOS_00_24;201.54
2020-06-08;Frankreich;NEGPOS_00_24;136.21
2020-06-09;Frankreich;NEGPOS_00_24;144.96
2020-06-10;Frankreich;NEGPOS_00_24;91.62
2020-06-11;Frankreich;NEGPOS_00_24;166.19
2020-06-12;Frankreich;NEGPOS_00_24;109.75
2020-06-13;Frankreich;NEGPOS_00_24;108.24
2020-06-14;Frankreich;NEGPOS_00_24;142.55
2020-06-15;Frankreich;NEGPOS_00_24;169.38
2020-06-16;Frankreich;NEGPOS_00_24;142.74
2020-06-17;Frankreich;NEGPOS_00_24;100
2020-06-18;Frankreich;NEGPOS_00_24;108.72
2020-06-19;Frankreich;NEGPOS_00_24;158.4
2020-06-20;Frankreich;NEGPOS_00_24;65
2020-06-21;Frankreich;NEGPOS_00_24;65
2020-06-22;Frankreich;NEGPOS_00_24;202.15
2020-06-23;Frankreich;NEGPOS_00_24;160.14
2020-06-24;Frankreich;NEGPOS_00_24;148.13
2020-06-25;Frankreich;NEGPOS_00_24;119
2020-06-26;Frankreich;NEGPOS_00_24;92.46
2020-06-27;Frankreich;NEGPOS_00_24;105
2020-06-28;Frankreich;NEGPOS_00_24;130.94
2020-06-29;Frankreich;NEGPOS_00_24;115
2020-06-30;Frankreich;NEGPOS_00_24;150.3
2020-07-01;Frankreich;NEGPOS_00_04;31.46
2020-07-01;Frankreich;NEGPOS_04_08;23.51
2020-07-01;Frankreich;NEGPOS_08_12;21.07
2020-07-01;Frankreich;NEGPOS_12_16;16.67
2020-07-01;Frankreich;NEGPOS_16_20;28.56
2020-07-01;Frankreich;NEGPOS_20_24;19.15
2020-07-02;Frankreich;NEGPOS_00_04;18
2020-07-02;Frankreich;NEGPOS_04_08;20
2020-07-02;Frankreich;NEGPOS_08_12;16.6
2020-07-02;Frankreich;NEGPOS_12_16;12.5
2020-07-02;Frankreich;NEGPOS_16_20;16
2020-07-02;Frankreich;NEGPOS_20_24;16.67
2020-07-03;Frankreich;NEGPOS_00_04;16.67
2020-07-03;Frankreich;NEGPOS_04_08;19.06
2020-07-03;Frankreich;NEGPOS_08_12;17.72
2020-07-03;Frankreich;NEGPOS_12_16;16.67
2020-07-03;Frankreich;NEGPOS_16_20;18
2020-07-03;Frankreich;NEGPOS_20_24;16.67
2020-07-04;Frankreich;NEGPOS_00_04;27.12
2020-07-04;Frankreich;NEGPOS_04_08;30.76
2020-07-04;Frankreich;NEGPOS_08_12;25
2020-07-04;Frankreich;NEGPOS_12_16;30.6
2020-07-04;Frankreich;NEGPOS_16_20;29.12
2020-07-04;Frankreich;NEGPOS_20_24;22.44
2020-07-05;Frankreich;NEGPOS_00_04;48
2020-07-05;Frankreich;NEGPOS_04_08;59.65
2020-07-05;Frankreich;NEGPOS_08_12;68
2020-07-05;Frankreich;NEGPOS_12_16;126.12
2020-07-05;Frankreich;NEGPOS_16_20;88.9
2020-07-05;Frankreich;NEGPOS_20_24;39.2
2020-07-07;Frankreich;NEGPOS_00_04;22.39
2020-07-07;Frankreich;NEGPOS_04_08;20.34
2020-07-07;Frankreich;NEGPOS_08_12;19.4
2020-07-07;Frankreich;NEGPOS_12_16;22
2020-07-07;Frankreich;NEGPOS_16_20;19
2020-07-07;Frankreich;NEGPOS_20_24;12.63
2020-07-08;Frankreich;NEGPOS_00_04;17.2
2020-07-08;Frankreich;NEGPOS_04_08;26.4
2020-07-08;Frankreich;NEGPOS_08_12;27.4
2020-07-08;Frankreich;NEGPOS_12_16;17.2
2020-07-08;Frankreich;NEGPOS_16_20;19.12
2020-07-08;Frankreich;NEGPOS_20_24;17.2
2020-07-09;Frankreich;NEGPOS_00_04;13.57
2020-07-09;Frankreich;NEGPOS_04_08;17.45
2020-07-09;Frankreich;NEGPOS_08_12;20
2020-07-09;Frankreich;NEGPOS_12_16;15
2020-07-09;Frankreich;NEGPOS_16_20;16.67
2020-07-09;Frankreich;NEGPOS_20_24;11.8
2020-07-10;Frankreich;NEGPOS_00_04;25.38
2020-07-10;Frankreich;NEGPOS_04_08;26.61
2020-07-10;Frankreich;NEGPOS_08_12;16.67
2020-07-10;Frankreich;NEGPOS_12_16;16.67
2020-07-10;Frankreich;NEGPOS_16_20;23.12
2020-07-10;Frankreich;NEGPOS_20_24;18.94
2020-07-11;Frankreich;NEGPOS_00_04;22.08
2020-07-11;Frankreich;NEGPOS_04_08;24
2020-07-11;Frankreich;NEGPOS_08_12;26
2020-07-11;Frankreich;NEGPOS_12_16;32.48
2020-07-11;Frankreich;NEGPOS_16_20;21.3
